Total time,Physics time,Receive time,Total connections,Connections in ROI,Connections outside ROI,Number of closest clients,Known clients,Total entities,Received messages,Sent messages
1350087966,4593,0,0,0,0,0,0,13,,
1360087405,5223,0,0,0,0,0,0,13,,
1370088107,5272,0,0,0,0,0,0,13,,
1380088336,6205,0,0,0,0,0,0,14,,
1390088571,6691,0,0,0,0,0,0,14,,
1400088769,6511,0,0,0,0,0,0,14,,
1410089188,6635,0,0,0,0,0,0,15,,
1420089444,6948,0,0,0,0,0,0,15,,
1430089503,4887,0,0,0,0,0,0,15,,
1440089379,7672,0,0,0,0,0,0,16,,
1450089941,6440,0,0,0,0,0,0,16,,
1460089631,5114,0,0,0,0,0,0,16,,
1470089729,3705,0,0,0,0,0,0,15,,
1480089693,3837,0,0,0,0,0,0,15,,
1490089947,4691,0,0,0,0,0,0,15,,
1500090413,7766,0,0,0,0,0,0,16,,
1510090260,7169,0,0,0,0,0,0,16,,
1520090508,7808,0,0,0,0,0,0,15,,
1530090902,7012,0,0,0,0,0,0,15,,
1540090467,8238,0,0,0,0,0,0,15,,
1550090785,6815,0,0,0,0,0,0,15,,
1560090964,6276,0,0,0,0,0,0,15,,
1570091329,5680,0,0,0,0,0,0,14,,
1580091060,5653,0,0,0,0,0,0,14,,
1590091779,6479,0,0,0,0,0,0,14,,
1600091402,7764,0,0,0,0,0,0,14,,
1610091477,3869,0,0,0,0,0,0,14,,
1620091886,6781,0,0,0,0,0,0,14,,
1630091658,6775,0,0,0,0,0,0,14,,
1640091810,3843,0,0,0,0,0,0,14,,
1650091963,5761,0,0,0,0,0,0,14,,
1660092007,6070,0,0,0,0,0,0,14,,
1670092118,6023,0,0,0,0,0,0,14,,
1680092245,6075,0,0,0,0,0,0,13,,
1690092436,6343,0,0,0,0,0,0,13,,
1700092454,5122,0,0,0,0,0,0,13,,
1710092911,4241,0,0,0,0,0,0,14,,
1720093030,6839,0,0,0,0,0,0,14,,
1730093501,7256,0,0,0,0,0,0,14,,
1740093518,7139,0,0,0,0,0,0,15,,
1750093248,6743,0,0,0,0,0,0,15,,
1760093439,5535,0,0,0,0,0,0,15,,
1770093462,6494,0,0,0,0,0,0,16,,
1780093641,6788,0,0,0,0,0,0,15,,
1790094338,6414,0,0,0,0,0,0,15,,
1800094004,6973,0,0,0,0,0,0,16,,
1810094109,6874,0,0,0,0,0,0,14,,
1820094772,5570,0,0,0,0,0,0,14,,
1830095088,6293,0,0,0,0,0,0,14,,
1840094679,6368,0,0,0,0,0,0,14,,
1850094947,6642,0,0,0,0,0,0,12,,
1860095857,5881,0,0,0,0,0,0,13,,
1870096337,5806,0,0,0,0,0,0,12,,
1880096493,6388,0,0,0,0,0,0,12,,
1890096522,5069,0,0,0,0,0,0,13,,
1900096694,6058,0,0,0,0,0,0,11,,
1910097348,4934,0,0,0,0,0,0,11,,
1920097179,5435,0,0,0,0,0,0,11,,
1930096794,5105,0,0,0,0,0,0,11,,
1940096770,12966,0,0,0,0,0,0,11,,
1950097655,5674,0,0,0,0,0,0,12,,
1960097683,4922,0,0,0,0,0,0,12,,
1970098184,5187,0,0,0,0,0,0,12,,
1980097820,6142,0,0,0,0,0,0,12,,
1990098249,6260,0,0,0,0,0,0,11,,
2000098084,5569,0,0,0,0,0,0,11,,
2010098177,5617,0,0,0,0,0,0,12,,
2020098337,6394,0,0,0,0,0,0,12,,
2030098766,5988,0,0,0,0,0,0,12,,
2040098453,5609,0,0,0,0,0,0,13,,
2050099024,6063,0,0,0,0,0,0,13,,
2060099014,5529,0,0,0,0,0,0,12,,
2070099564,5405,0,0,0,0,0,0,13,,
2080099437,6150,0,0,0,0,0,0,13,,
2090099497,6796,0,0,0,0,0,0,12,,
2100099692,6338,0,0,0,0,0,0,13,,
2110099894,6589,0,0,0,0,0,0,13,,
2120099712,6230,0,0,0,0,0,0,13,,
2130100141,6164,0,0,0,0,0,0,13,,
2140100090,6273,0,0,0,0,0,0,13,,
2150100294,6076,0,0,0,0,0,0,13,,
2160100369,6465,0,0,0,0,0,0,14,,
2170100161,6554,0,0,0,0,0,0,14,,
2180100470,6409,0,0,0,0,0,0,14,,
2190100823,5566,0,0,0,0,0,0,14,,
2200101028,6451,0,0,0,0,0,0,14,,
2210101107,5745,0,0,0,0,0,0,14,,
2220101265,5949,0,0,0,0,0,0,14,,
2230101434,6659,0,0,0,0,0,0,14,,
2240101188,5926,0,0,0,0,0,0,14,,
2250101545,6364,0,0,0,0,0,0,15,,
2260101909,5911,0,0,0,0,0,0,15,,
2270101831,6200,0,0,0,0,0,0,15,,
2280101775,7007,0,0,0,0,0,0,15,,
2290101949,6221,0,0,0,0,0,0,15,,
2300101922,5963,0,0,0,0,0,0,15,,
2310102139,6835,0,0,0,0,0,0,16,,
2320102025,6283,0,0,0,0,0,0,16,,
2330102018,6071,0,0,0,0,0,0,16,,
2340102301,5848,0,0,0,0,0,0,17,,
2350102507,7709,0,0,0,0,0,0,17,,
2360102862,7135,0,0,0,0,0,0,16,,
2370102918,7306,0,0,0,0,0,0,16,,
2380102834,7022,0,0,0,0,0,0,16,,
2390102982,6953,0,0,0,0,0,0,15,,
2400102881,7742,0,0,0,0,0,0,15,,
2410104464,6378,0,0,0,0,0,0,15,,
2420103999,18449,0,0,0,0,0,0,15,,
2430104267,5314,0,0,0,0,0,0,16,,
2440104567,7151,0,0,0,0,0,0,16,,
2450104964,7610,0,0,0,0,0,0,15,,
2460104548,6978,0,0,0,0,0,0,16,,
2470105334,6651,0,0,0,0,0,0,16,,
2480105302,7703,0,0,0,0,0,0,16,,
2490105629,6876,0,0,0,0,0,0,15,,
2500105780,7559,0,0,0,0,0,0,15,,
2510106648,6438,0,0,0,0,0,0,15,,
2520106765,6773,0,0,0,0,0,0,16,,
2530106574,7247,0,0,0,0,0,0,16,,
2540107012,6954,0,0,0,0,0,0,15,,
2550107081,6262,0,0,0,0,0,0,16,,
2560107017,6906,0,0,0,0,0,0,15,,
2570107280,6789,0,0,0,0,0,0,14,,
2580107236,7151,0,0,0,0,0,0,15,,
2590107806,8913,0,0,0,0,0,0,15,,
2600107735,7445,0,0,0,0,0,0,15,,
2610107489,6594,0,0,0,0,0,0,14,,
2620107946,6223,0,0,0,0,0,0,14,,
2630108026,6863,0,0,0,0,0,0,14,,
2640108441,6479,0,0,0,0,0,0,15,,
2650108641,7793,0,0,0,0,0,0,14,,
2660108840,6103,0,0,0,0,0,0,13,,
2670109028,5491,0,0,0,0,0,0,14,,
2680108938,7270,0,0,0,0,0,0,14,,
2690109001,6180,0,0,0,0,0,0,14,,
2700109329,5982,0,0,0,0,0,0,14,,
2710109478,5872,0,0,0,0,0,0,13,,
2720109450,5733,0,0,0,0,0,0,12,,
2730109360,5614,0,0,0,0,0,0,13,,
2740109703,5512,0,0,0,0,0,0,11,,
2750109927,6613,0,0,0,0,0,0,10,,
2760110162,4873,0,0,0,0,0,0,11,,
2770110573,5977,0,0,0,0,0,0,11,,
2780110891,5686,0,0,0,0,0,0,11,,
2790110823,5053,0,0,0,0,0,0,12,,
2800110853,6407,0,0,0,0,0,0,12,,
2810110955,5050,0,0,0,0,0,0,12,,
2820111011,4720,0,0,0,0,0,0,13,,
2830110967,6984,0,0,0,0,0,0,13,,
2840111596,5045,0,0,0,0,0,0,13,,
2850111610,5697,0,0,0,0,0,0,14,,
2860111689,5879,0,0,0,0,0,0,14,,
2870111764,5661,0,0,0,0,0,0,13,,
2880112080,5629,0,0,0,0,0,0,14,,
2890112314,6314,0,0,0,0,0,0,14,,
2900112358,7161,0,0,0,0,0,0,14,,
2910112341,5701,0,0,0,0,0,0,14,,
2920112594,6095,0,0,0,0,0,0,14,,
2930112687,8160,0,0,0,0,0,0,14,,
2940112717,5648,0,0,0,0,0,0,14,,
2950112717,6825,0,0,0,0,0,0,14,,
2960112773,5669,0,0,0,0,0,0,14,,
2970113231,7158,0,0,0,0,0,0,14,,
2980113405,6283,0,0,0,0,0,0,13,,
2990112846,5222,0,0,0,0,0,0,13,,
3000113348,3365,0,0,0,0,0,0,14,,
3010113398,4230,0,0,0,0,0,0,14,,
3020113391,5526,0,0,0,0,0,0,13,,
3030114189,6042,0,0,0,0,0,0,12,,
