Total time,Physics time,Receive time,Total connections,Connections outside ROI,Number of closest clients,Total entities,Received messages,Sent messages
100399123,152075,172368,1,0,0,6,C:5 R:2 B:3 ,C:5 R:2 B:3 
200381765,36526,5298,1,0,0,7,B:3 C:3 ,B:3 C:3 
300381731,43815,4693,1,0,0,11,B:3 C:3 ,B:3 C:3 
400381805,45049,7381,1,0,0,11,B:4 C:4 ,B:4 C:4 
500381882,49212,4926,1,0,0,12,B:3 C:3 ,B:3 C:3 
600381967,54600,6163,1,0,0,11,B:3 C:3 ,B:3 C:3 
700381642,55079,6622,1,0,0,12,B:4 C:4 ,B:4 C:4 
800381763,56485,5524,1,0,0,11,B:3 C:3 ,B:3 C:3 
900382224,59081,6879,1,0,0,13,B:3 C:3 ,B:3 C:3 
1000382354,61915,7204,1,0,0,14,B:4 C:4 ,B:4 C:4 
1100382690,63306,295754,31,8,8,14,B:12 C:101 R:60 ,B:11 C:457 R:30 
1200382258,170483,1563284,31,6,7,47,B:92 C:103 L:842 Q:21 D:36 ,B:89 C:102 L:21 R:8 
1300382792,139685,1938585,31,6,7,49,L:1391 D:70 B:31 C:38 Q:32 R:29 ,B:38 C:249 L:30 Q:9 
1400382721,125609,2093453,30,5,6,52,L:1631 D:70 B:45 C:99 Q:26 R:28 ,B:69 C:229 L:18 R:11 Q:42 
1500383176,187199,2394596,86,7,8,63,L:1661 D:65 B:77 C:249 Q:14 R:112 ,B:53 C:1061 L:14 R:64 
1600383403,281223,5953701,327,6,8,135,L:2323 C:1028 R:491 D:84 B:392 Q:37 H:4 ,C:5037 R:241 B:433 L:37 T:4 Q:8 
1700383757,650767,11868436,326,5,8,237,L:5562 D:258 B:629 C:843 Q:159 H:9 R:189 ,C:2403 B:845 L:152 Q:67 T:8 R:11 
1800385248,890545,14599346,324,5,8,245,L:6988 B:623 C:630 Q:172 D:292 R:108 H:5 ,B:701 C:1616 L:172 Q:108 T:3 R:9 
1900385297,821215,12720767,319,6,8,261,L:6650 D:223 R:188 B:459 C:598 Q:117 H:10 ,B:791 C:2195 L:116 Q:292 T:6 R:1 
2000385954,902439,12461806,297,6,8,335,L:7487 C:532 B:485 D:192 Q:69 H:18 R:184 ,C:2090 B:619 L:69 Q:174 T:9 R:9 
2100386189,1258546,11127552,274,7,8,400,L:7197 B:453 C:449 R:88 H:23 D:137 Q:61 ,C:1263 B:623 Q:636 T:24 L:61 R:9 
2200386257,1460782,11235159,247,7,8,423,L:8276 C:418 D:149 Q:80 B:336 R:165 H:36 ,B:603 L:80 C:1755 T:35 Q:819 
2300386813,1312824,10930660,217,6,8,464,L:9066 C:295 B:275 Q:61 H:28 D:171 R:155 ,B:446 C:1582 L:58 T:20 Q:807 R:9 
2400386661,1628984,10458320,194,7,8,509,L:9184 B:283 C:300 D:152 R:63 T:1 Q:40 H:51 ,C:827 Q:1311 B:444 T:57 L:40 R:9 
2500386555,1271341,11242820,186,6,8,481,L:11001 C:320 R:116 B:274 D:164 Q:12 H:80 ,B:399 C:1257 L:12 Q:1043 T:8 R:1 
2600387106,1972968,11245054,169,6,8,509,L:11312 C:277 B:230 H:77 D:159 Q:21 R:106 ,B:376 C:1111 Q:819 L:21 T:20 R:8 
2700387168,1907259,10613772,142,7,8,519,L:11527 B:251 C:191 D:143 R:56 Q:5 H:37 ,B:326 C:659 L:3 Q:1108 T:19 R:9 
2800387345,1824541,9319095,132,6,8,425,L:11115 R:69 D:155 B:199 C:182 H:44 Q:2 T:2 ,B:271 C:660 Q:958 T:46 L:2 
2900387602,1326377,11351331,111,7,8,415,L:14432 B:163 C:159 D:170 H:87 Q:3 R:73 ,Q:535 C:742 L:3 T:33 B:235 R:9 
3000387920,1041941,10167254,110,6,8,329,L:14032 H:49 R:49 C:169 D:199 B:204 Q:2 ,C:611 B:196 Q:532 T:20 L:2 R:9 
3100387935,735828,9699195,107,7,8,277,L:12727 C:152 B:108 H:58 D:147 R:69 Q:1 ,Q:733 B:208 C:718 T:14 L:1 R:1 
3200388024,597225,11131753,94,6,8,205,L:15878 C:132 D:177 B:118 H:87 Q:7 R:71 ,B:180 C:692 Q:415 T:12 L:7 R:8 
3300388486,353118,11132455,86,7,8,121,L:16964 C:143 B:160 H:51 D:185 R:40 ,B:170 C:459 Q:205 R:9 T:1 
3400388556,243244,11009866,86,7,8,67,L:16450 R:46 B:165 C:175 H:52 D:172 ,B:175 C:550 R:2 Q:54 
3500388639,192122,10106223,72,7,8,49,L:15437 B:167 C:128 H:49 D:176 R:55 ,C:583 B:148 T:3 Q:39 R:8 
3600389145,128966,8503242,70,6,8,21,L:11975 H:39 R:41 C:160 B:156 D:124 ,B:148 C:477 Q:27 T:1 R:9 
3700388842,103681,8611182,65,7,8,13,L:11653 H:22 C:158 B:138 D:126 R:42 ,B:153 C:506 Q:4 R:1 
3800388950,82446,6238797,57,7,8,15,L:10081 D:115 C:176 B:138 R:50 ,B:150 C:506 R:9 
3900389394,80765,2018682,58,7,7,16,L:2715 B:129 C:181 D:31 R:28 ,B:150 C:375 R:9 
4000389579,84674,380691,57,8,8,17,C:142 R:36 B:94 ,B:155 C:413 
4100389976,86569,445552,57,8,8,17,C:149 B:97 R:45 ,B:129 C:506 R:8 
4200389498,93885,411919,57,7,7,20,R:25 C:146 B:117 ,B:123 C:346 R:8 
4300390105,101385,391791,57,8,8,22,C:133 B:92 R:36 ,B:133 C:422 
4400390266,113186,426689,57,8,8,23,C:142 B:99 R:48 ,B:124 C:530 R:8 
4500389899,119031,646119,57,7,8,22,B:122 C:149 R:26 L:252 D:3 ,B:130 C:368 R:8 
4600390570,126036,1340527,58,6,7,24,L:1118 B:87 C:138 R:37 D:10 ,B:133 C:433 R:1 
4700390548,134140,1539097,57,8,8,25,C:184 L:1145 B:103 D:11 R:47 ,B:164 C:515 R:7 
