Total time,Physics time,Receive time,Total connections,Connections in ROI,Connections outside ROI,Number of closest clients,Known clients,Number of processes,Total entities,Received messages,Sent messages
2721006879,11434,1988,9,0,7,7,28,42,41,C:3 ,B:3 
2731007282,11500,4091,9,0,7,7,27,43,41,C:5 B:1 ,B:5 C:1 
2741007035,10257,8285,10,0,7,7,27,42,41,R:3 C:9 B:2 ,C:26 B:2 R:1 
2751007158,10420,710,10,0,7,7,26,41,41,C:1 ,B:1 
2761008188,14834,7171,10,0,7,7,26,41,41,C:6 B:2 ,B:6 C:2 
2771008342,11347,5236,10,0,7,7,26,41,41,R:1 C:4 B:2 ,C:9 B:4 
2781008613,10278,694,10,0,7,7,26,41,41,C:1 ,B:1 
2791008093,14721,4110,10,0,7,7,26,39,42,C:4 B:1 ,B:4 C:1 
2801008176,14096,4045,9,0,7,7,25,39,42,C:4 B:2 ,B:4 C:2 
2811008633,11171,4575,10,0,7,7,25,39,42,C:8 R:1 ,C:9 R:1 B:2 
2821008491,12839,4179,10,0,7,7,25,39,43,C:5 B:1 ,B:5 C:1 
2831008502,10841,4783,9,0,7,7,24,39,42,B:3 C:5 ,B:5 C:3 
2841009010,10463,747,9,0,7,7,24,39,42,C:1 ,B:1 
2851008906,14254,54136,11,0,7,7,25,39,43,C:66 B:1 R:2 ,B:6 R:9 C:22 
2861009557,15003,2403,11,0,7,7,25,39,42,C:2 B:2 ,B:2 C:2 
2871008994,10921,1974,11,0,7,7,25,39,41,C:3 ,B:3 
2881009740,13231,5450,11,0,7,7,25,39,42,C:7 B:2 ,B:7 C:2 
2891009422,16613,5593,11,0,7,7,25,40,42,C:4 R:2 B:2 ,B:3 C:18 
2901009372,10781,1987,11,0,7,7,25,40,42,C:3 ,B:3 
2911010069,11262,6355,10,0,7,7,24,39,43,C:7 B:2 ,B:7 C:2 
2921010190,13786,4591,10,0,7,7,24,39,43,R:1 C:3 B:2 ,C:9 B:3 
2931009767,12314,2594,10,1,5,6,24,39,35,C:4 ,B:4 
2941009888,9655,4629,10,5,1,4,24,41,41,C:6 ,B:6 
2951009968,9814,2501,9,6,0,4,23,41,43,C:2 L:1 ,B:2 Q:1 
2961010080,10316,4320,9,6,0,4,23,41,43,C:3 L:4 ,B:3 Q:4 
2971010192,11024,5293,9,6,0,4,23,40,44,C:6 L:2 ,B:6 Q:2 
2981010310,12556,3847,9,6,0,4,23,40,44,L:4 C:2 ,Q:4 B:2 
2991010392,11104,3113,9,6,0,4,23,39,44,C:3 L:2 ,B:3 Q:2 
3001010502,20799,551045,28,27,1,6,31,39,209,C:82 L:698 R:10 D:1 T:1 B:1 H:1 ,B:14 Q:4 R:23 C:140 L:1549 T:1 D:1 H:1 
3011035711,52526,250334,28,27,1,6,31,39,224,L:506 C:22 B:6 H:2 T:8 ,L:942 B:11 C:6 T:1 D:2 
3021059157,50495,336966,29,28,1,6,32,38,220,T:14 L:546 C:31 B:14 H:3 R:2 Q:15 ,L:1178 B:18 C:23 H:1 D:4 Q:45 R:1 T:2 
3031059030,57910,328455,31,30,1,6,33,38,236,L:546 C:51 B:20 R:1 D:1 Q:6 H:1 ,L:1398 B:33 C:47 R:2 Q:16 T:1 H:1 D:3 
3041061825,59198,342398,32,31,1,6,33,38,234,L:560 C:33 B:6 H:2 T:3 R:1 D:1 Q:13 ,L:1427 C:21 B:10 R:1 T:86 Q:17 D:2 
3051059418,70766,336346,32,31,1,6,33,38,232,L:554 C:35 B:14 H:2 D:2 Q:8 T:2 ,L:1290 B:18 C:21 T:2 Q:9 H:1 D:4 
3061059349,71790,370952,32,31,1,6,33,38,234,L:557 C:29 B:19 D:4 H:1 T:1 Q:13 ,L:1304 B:35 C:41 Q:19 D:8 T:4 H:1 
3071078645,74960,308380,32,31,1,6,33,38,237,L:549 R:1 C:13 D:9 B:6 T:6 H:1 Q:6 ,C:23 L:1321 B:11 Q:8 T:1 D:9 
3081100812,68368,373952,32,31,1,6,33,38,239,L:565 C:25 D:5 B:14 T:8 Q:13 H:1 ,L:1310 B:19 C:33 Q:22 H:3 T:1 D:2 
3091100399,63716,319491,32,31,1,7,33,38,244,L:548 H:2 Q:8 D:6 B:18 C:36 T:2 ,L:1291 T:2 B:34 C:45 Q:8 H:3 D:2 
3101102131,64376,433838,27,27,0,6,28,38,244,L:564 C:29 D:7 B:6 T:2 Q:12 ,Q:21 L:1198 C:13 B:11 H:2 D:2 
3111100623,57647,297069,26,26,0,7,27,38,243,L:552 C:29 T:2 H:1 Q:6 B:14 D:4 R:1 ,B:18 H:3 L:1084 Q:8 T:2 C:38 
3121119850,56560,313338,26,26,0,7,27,38,245,L:567 T:6 B:18 C:24 D:5 Q:10 ,H:3 L:1011 Q:21 B:20 C:51 D:4 
3131120010,61348,295980,26,26,0,7,27,38,243,L:553 C:19 B:6 T:2 D:3 Q:4 ,C:42 L:970 B:8 D:4 H:2 Q:7 
3141141390,54938,31912
