Real time, Total time,Physics time,Receive time,Total connections,Connections in ROI,Connections outside ROI,Number of closest clients,Known clients,Number of processes,Total entities,Received messages,Sent messages
19/04/2016 08:02:16,100848779,197692,842747,28,28,0,7,28,30,108,C:352 R:28 L:701 H:7 D:11 T:1 ,C:344 R:29 L:3351 T:7 D:62 H:1 Q:1 
19/04/2016 08:02:26,200843002,330393,3221210,31,31,0,7,31,33,176,C:197 L:6129 D:127 R:3 H:32 Q:19 B:3 T:27 ,C:329 R:10 L:9976 D:170 T:53 Q:25 B:1 
19/04/2016 08:02:36,300839123,350568,4127201,30,30,0,7,31,36,165,L:8161 C:260 H:34 D:157 Q:18 T:14 R:5 B:6 ,Q:15 L:9415 C:409 T:44 B:5 D:170 R:8 
19/04/2016 08:02:46,400839262,283125,3984224,28,28,0,7,29,36,150,C:153 L:8074 T:59 D:93 H:30 Q:8 B:6 R:4 ,L:8222 T:66 Q:27 D:97 H:27 C:287 B:9 
19/04/2016 08:02:56,500839442,305704,3965397,29,29,0,7,31,37,131,L:7945 D:64 H:29 T:85 C:363 B:7 Q:19 R:3 ,L:7495 Q:41 T:29 H:30 C:320 R:9 D:33 B:13 
19/04/2016 08:03:06,600860389,128787,1677464,9,1,6,6,27,38,21,L:3361 Q:6 C:332 T:47 H:25 R:8 B:17 D:17 ,L:2787 C:338 H:24 Q:7 T:13 D:29 B:9 R:8 
19/04/2016 08:03:16,700860789,51485,180969,11,0,6,6,29,38,22,L:247 T:3 Q:2 B:9 C:192 R:12 ,B:10 C:244 R:6 
19/04/2016 08:03:26,800860615,55604,125085,7,0,4,4,27,42,21,C:68 B:5 R:2 L:238 D:2 ,B:11 C:61 R:6 
19/04/2016 08:03:36,900860854,59633,121628,9,0,6,6,28,42,22,C:104 B:12 R:10 L:170 H:1 ,C:107 B:11 R:10 
19/04/2016 08:03:46,1000860778,71721,54818,9,0,6,6,27,42,23,B:13 C:40 R:5 L:68 ,C:64 B:11 R:1 
19/04/2016 08:03:56,1100861332,72271,76335,8,0,6,6,27,40,24,L:102 R:1 C:46 B:15 ,C:37 B:7 R:6 
19/04/2016 08:04:06,1200860965,173168,1547708,22,19,0,8,29,39,161,C:266 R:16 B:25 L:3356 T:29 Q:11 H:1 D:8 ,C:264 R:24 B:23 L:3546 H:8 Q:45 T:1 
19/04/2016 08:04:16,1300861051,298009,2157106,19,19,0,7,25,37,164,L:4656 D:19 C:151 T:57 Q:38 B:34 H:15 R:6 ,Q:88 B:26 L:4962 T:103 C:276 H:19 
